name,atk,level,EP,NA
Blackwing - Harmattan the Dust,800.0,2.0,20,34.0
Blackwing - Hillen the Tengu-wind,0.0,5.0,20,22.4
Blackwing - Hurricane the Tornado,0.0,1.0,0,12.0
Blackwing - Jetstream the Blue Sky,100.0,1.0,10,23.0
Blackwing - Jin the Rain Shadow,600.0,1.0,10,28.0
Blackwing - Kalut the Moon Shadow,1400.0,3.0,20,38.0
Blackwing - Kochi the Daybreak,700.0,4.0,20,30.0
Blackwing - Kogarashi the Wanderer,2300.0,6.0,30,55.0
Blackwing - Kris the Crack of Dawn,1900.0,4.0,30,52.0
Blackwing - Mistral the Silver Shield,100.0,2.0,10,17.0
Blackwing - Nothung the Starlight,2400.0,6.0,50,76.0
Blackwing - Oroshi the Squall,400.0,1.0,20,36.0
Blackwing - Pinaki the Waxing Moon,1200.0,3.0,40,56.0
Blackwing - Shamal the Sandstorm,1600.0,4.0,50,69.0
Blackwing - Sharnga the Waning Moon,500.0,2.0,40,51.0
Blackwing - Shura the Blue Flame,1800.0,4.0,50,71.0
Blackwing - Silverwind the Ascendant,2800.0,8.0,30,59.5
Blackwing - Simoon the Poison Wind,1600.0,6.0,50,68.0
Blackwing - Sirocco the Dawn,2000.0,5.0,40,62.4
Blackwing - Steam the Cloak,800.0,3.0,20,32.0
Blackwing - Sudri the Phantom Glimmer,1400.0,4.0,40,57.0
Blackwing - Tornado the Reverse Wind,1000.0,4.0,20,33.0
Blackwing - Twin Shadow,0.0,1.0,30,42.0
Blackwing - Vata the Emblem of Wandering,800.0,2.0,40,54.0
Blackwing - Vayu the Emblem of Honor,800.0,1.0,30,50.0
Blackwing - Zephyros the Elite,1600.0,4.0,20,39.0
Blackwing - Zonda the Dusk,2300.0,6.0,30,55.0
Blackwing Armed Wing,2300.0,6.0,40,65.0
Blackwing Armor Master,2500.0,7.0,10,36.714285714285715
Blackwing Full Armor Master,3000.0,10.0,10,41.2
Blackwing Tamer - Obsidian Hawk Joe,2600.0,7.0,20,47.714285714285715
Blade Armor Ninja,2200.0,4.0,0,25.0
Blade Bounzer,1800.0,4.0,10,31.0
Blade Garoodia the Cubic Beast,0.0,3.0,70,74.0
Blade Knight,1600.0,4.0,30,49.0
Blade Rabbit,400.0,2.0,10,20.0
Blade Skater,1400.0,4.0,0,17.0
Bladefly,600.0,2.0,0,12.0
Blast Asmodian,1000.0,3.0,20,34.0
Blast Held by a Tribute,0.0,1.0,50,62.0
Blast Held by Destiny,0.0,1.0,30,42.0
Blast Juggler,800.0,3.0,10,22.0
Blast Magician,1400.0,4.0,10,27.0
Blast Sphere,1400.0,4.0,30,47.0
Blast with Chain,0.0,1.0,30,42.0
"Blaster, Dragon Ruler of Infernos",2800.0,7.0,50,79.71428571428572
Blasting Fuse,0.0,1.0,10,22.0
Blasting the Ruins,0.0,1.0,20,32.0
Blaze Accelerator,0.0,1.0,10,22.0
Blaze Accelerator Deployment (Skill Card),0.0,1.0,0,12.0
Blaze Accelerator Reload,0.0,1.0,50,62.0
Blaze Cannon,0.0,1.0,20,32.0
"Blaze Fenix, the Burning Bombardment Bird",2800.0,8.0,20,49.5
Blazewing Butterfly,1500.0,4.0,40,58.0
"Blazing Cartesia, the Virtuous",1500.0,4.0,20,38.0
Blazing Hiita,800.0,4.0,30,41.0
Blazing Inpachi,1850.0,4.0,0,21.5
Blazing Mirror Force,0.0,1.0,30,42.0
Blessed Winds,0.0,1.0,40,52.0
Blessings for Gusto,0.0,1.0,20,32.0
Blessings of the Nile,0.0,1.0,-10,2.0
Blind Destruction,0.0,1.0,10,22.0
Blind Obliteration,0.0,1.0,10,22.0
Blind Spot Strike,0.0,1.0,20,32.0
Blindly Loyal Goblin,1800.0,4.0,0,21.0
Blizzard,0.0,1.0,0,12.0
Blizzard Dragon,1800.0,4.0,0,21.0
Blizzard Falcon,1500.0,4.0,20,38.0
Blizzard Princess,2800.0,8.0,20,49.5
Blizzard Thunderbird,1600.0,4.0,10,29.0
Blizzard Warrior,1400.0,3.0,10,28.0
"Blizzed, Defender of the Ice Barrier",300.0,1.0,30,45.0
Block Attack,0.0,1.0,0,12.0
Block Dragon,2500.0,8.0,60,86.5
Block Golem,1000.0,3.0,20,34.0
Block Spider,0.0,1.0,40,52.0
Block Token,1000.0,4.0,20,33.0
Blocker,850.0,4.0,0,11.5
Blockman,1000.0,4.0,20,33.0
Blockout Curtain,0.0,1.0,20,32.0
Blood Mefist,2800.0,8.0,20,49.5
Blood Sucker,1300.0,4.0,20,36.0
Bloom Diva the Melodious Choir,1000.0,6.0,50,62.0
Bloom Harmonist the Melodious Composer,1000.0,1.0,30,52.0
Bloom Prima the Melodious Choir,1900.0,7.0,40,60.714285714285715
Blooming of the Darkest Rose,0.0,1.0,30,42.0
Blossom Bombardment,0.0,1.0,30,42.0
Blowback Dragon,2300.0,6.0,10,35.0
Blue Dragon Ninja,2100.0,5.0,-10,13.399999999999999
Blue Dragon Summoner,1500.0,4.0,20,38.0
Blue Duston,0.0,1.0,40,52.0
Blue Flame Swordsman,1800.0,4.0,50,71.0
Blue Medicine,0.0,1.0,0,12.0
Blue Mountain Butterspy,0.0,4.0,20,23.0
Blue Rose Dragon,1600.0,4.0,30,49.0
Blue Thunder T-45,1700.0,4.0,30,50.0
Blue-Blooded Oni,1000.0,4.0,20,33.0
Blue-Eyed Silver Zombie,900.0,3.0,0,13.0
Blue-Eyes Abyss Dragon,2500.0,8.0,70,96.5
Blue-Eyes Alternative Ultimate Dragon,4500.0,12.0,30,76.0
Blue-Eyes Alternative White Dragon,3000.0,8.0,30,61.5
Blue-Eyes Chaos Dragon,3000.0,8.0,50,81.5
Blue-Eyes Chaos MAX Dragon,4000.0,8.0,50,91.5
Blue-Eyes Jet Dragon,3000.0,8.0,30,61.5
Blue-Eyes Shining Dragon,3000.0,10.0,40,71.2
Blue-Eyes Solid Dragon,2500.0,8.0,40,66.5
Blue-Eyes Spirit Dragon,2500.0,9.0,30,56.33333333333333
Blue-Eyes Toon Dragon,3000.0,8.0,30,61.5
Blue-Eyes Twin Burst Dragon,3000.0,10.0,40,71.2
Blue-Eyes Tyrant Dragon,3400.0,8.0,20,55.5
Blue-Eyes Ultimate Dragon,4500.0,12.0,0,46.0
Blue-Eyes White Dragon,3000.0,8.0,0,31.5
Blue-Winged Crown,1600.0,4.0,0,19.0
"Bluebeard, the Plunder Patroll Shipwright",500.0,4.0,30,38.0
Blustering Winds,0.0,1.0,20,32.0
BM-4 Blast Spider,1400.0,4.0,30,47.0
Boar Soldier,2000.0,4.0,30,53.0
Bokoichi the Freightening Car,500.0,2.0,0,11.0
Bolt Escargot,1400.0,5.0,-10,6.399999999999999
Bolt Penguin,1100.0,3.0,0,15.0
Bombardment Beetle,400.0,2.0,10,20.0
Bond Between Teacher and Student,0.0,1.0,40,52.0
Bonding - D2O,0.0,1.0,20,32.0
Bonding - DHO,0.0,1.0,50,62.0
Bonding - H2O,0.0,1.0,20,32.0
Bone Archfiend,1800.0,4.0,20,41.0
Bone Crusher,1600.0,4.0,30,49.0
Bone Mouse,400.0,1.0,0,16.0
Bone Temple Block,0.0,1.0,20,32.0
Boneheimer,850.0,3.0,0,12.5
Bonfire,0.0,1.0,20,32.0
Bonfire Colossus,2600.0,8.0,30,57.5
Bonze Alone,100.0,1.0,30,43.0
Boo Koo,650.0,2.0,0,12.5
Boo-Boo Game,0.0,1.0,10,22.0
Booby Trap E,0.0,1.0,-10,2.0
Boogie Trap,0.0,1.0,-10,2.0
Book of Eclipse,0.0,1.0,20,32.0
Book of Life,0.0,1.0,30,42.0
Book of Lunar Eclipse,0.0,1.0,-10,2.0
Book of Moon,0.0,1.0,0,12.0
Book of Secret Arts,0.0,1.0,0,12.0
Book of Taiyou,0.0,1.0,0,12.0
Boompoline!!,0.0,1.0,20,32.0
Boon of the Meklord Emperor,0.0,1.0,20,32.0
Boost Warrior,300.0,1.0,40,55.0
Booster Dragon,1900.0,1.0,50,81.0
Boot Sector Launch,0.0,1.0,40,52.0
Boot Staggered,2300.0,5.0,40,65.4
Boot-Up Admiral - Destroyer Dynamo,2500.0,8.0,30,56.5
Boot-Up Corporal - Command Dynamo,0.0,4.0,40,43.0
Boot-Up Order - Gear Charge,0.0,1.0,40,52.0
Boot-Up Order - Gear Force,0.0,1.0,10,22.0
Boot-Up Soldier - Dread Dynamo,0.0,4.0,20,23.0
Born from Draconis,0.0,1.0,30,42.0
Borrel Cooling,0.0,1.0,30,42.0
Borrel Regenerator,0.0,1.0,60,72.0
Borrel Supplier,0.0,1.0,30,42.0
Borrelcode Dragon,2500.0,1.0,40,77.0
Borrelend Dragon,3500.0,1.0,30,77.0
Borrelguard Dragon,3000.0,1.0,30,72.0
Borreload Dragon,3000.0,1.0,-10,32.0
Borreload eXcharge Dragon,3000.0,4.0,20,53.0
Borreload Furious Dragon,3000.0,8.0,40,71.5
Borreload Riot Dragon,3000.0,8.0,30,61.5
Borreload Savage Dragon,3000.0,8.0,40,71.5
Borrelsword Dragon,3000.0,1.0,30,72.0
Boss Rush,0.0,1.0,50,62.0
Botanical Girl,1300.0,3.0,20,37.0
Botanical Lion,1600.0,4.0,20,39.0
Bottom Dweller,1650.0,5.0,0,18.9
Bottomless Shifting Sand,0.0,1.0,10,22.0
Bottomless Trap Hole,0.0,1.0,40,52.0
Boulder Tortoise,1450.0,6.0,0,16.5
Bound Wand,0.0,1.0,50,62.0
Bountiful Artemis,1600.0,4.0,20,39.0
Bounzer Guard,0.0,1.0,10,22.0
Bowganian,1300.0,3.0,20,37.0
Bownty,0.0,1.0,10,22.0
Box of Friends,0.0,1.0,50,62.0
BOXer,1800.0,4.0,50,71.0
Boycotton,1000.0,4.0,10,23.0
Bracchio-raidus,2200.0,6.0,0,24.0
Brain Control,0.0,1.0,20,32.0
Brain Crusher,2400.0,7.0,30,55.714285714285715
Brain Golem,2500.0,6.0,30,57.0
Brain Hazard,0.0,1.0,30,42.0
Brain Jacker,200.0,2.0,20,28.0
Brain Research Lab,0.0,1.0,20,32.0
Brainwashing Beam,0.0,1.0,10,22.0
Branch!,0.0,1.0,30,42.0
Branded Banishment,0.0,1.0,30,42.0
Branded Beast,0.0,1.0,10,22.0
Branded Befallen,0.0,1.0,10,22.0
Branded Bond,0.0,1.0,30,42.0
Branded Disciple,0.0,1.0,10,22.0
Branded Expulsion,0.0,1.0,30,42.0
Branded Fusion,0.0,1.0,20,32.0
Branded in Central Dogmatika,0.0,1.0,40,52.0
Branded in High Spirits,0.0,1.0,10,22.0
Branded in Red,0.0,1.0,30,42.0
Branded in White,0.0,1.0,30,42.0
Branded Loss,0.0,1.0,20,32.0
Branded Lost,0.0,1.0,40,52.0
Branded Opening,0.0,1.0,50,62.0
Branded Regained,0.0,1.0,70,82.0
Branded Retribution,0.0,1.0,40,52.0
Branded Sword,0.0,1.0,30,42.0
Brave Scizzar,1300.0,4.0,0,16.0
Brave-Eyes Pendulum Dragon,3000.0,8.0,40,71.5
Bravedrive,1500.0,4.0,10,28.0
"Bravo, Fighter Fur Hire",1900.0,4.0,40,62.0
Break Away,0.0,1.0,0,12.0
Break Off Trap Hole,0.0,1.0,30,42.0
Break the Destiny,0.0,1.0,40,52.0
Break! Draw!,0.0,1.0,30,42.0
Breaker the Dark Magical Warrior,1600.0,6.0,50,68.0
Breaker the Magical Warrior,1600.0,4.0,50,69.0
Breaking of the World,0.0,1.0,50,62.0
Breakthrough Skill,0.0,1.0,10,22.0
Breakthrough!,0.0,1.0,10,22.0
Breath of Acclamation,0.0,1.0,20,32.0
Breath of Light,0.0,1.0,10,22.0
Breath of Resurrection,0.0,1.0,30,42.0
Breath of the Tistina,0.0,1.0,60,72.0
Bri Synchron,1500.0,4.0,20,38.0
Bright Future,0.0,1.0,30,42.0
Bright Star Dragon,1900.0,4.0,20,42.0
"Brightest, Blazing, Branded King",0.0,1.0,0,12.0
Brigrand the Glory Dragon,2500.0,8.0,50,76.5
Brilliant Fusion,0.0,1.0,60,72.0
Brilliant Rose,500.0,2.0,10,21.0
Brilliant Spark,0.0,1.0,30,42.0
Brinegir,1000.0,7.0,40,51.714285714285715
"Brionac, Dragon of the Ice Barrier",2300.0,6.0,-10,15.0
"Brionac, the Dragon of Icy Malevolence",2300.0,6.0,10,35.0
Brohunder,900.0,4.0,40,52.0
Broken Bamboo Sword,0.0,1.0,20,32.0
Broken Blocker,0.0,1.0,50,62.0
Broken Line,0.0,1.0,10,22.0
Brotherhood of the Fire Fist - Bear,1600.0,4.0,50,69.0
Brotherhood of the Fire Fist - Boar,1100.0,4.0,50,64.0
Brotherhood of the Fire Fist - Buffalo,1700.0,4.0,20,40.0
Brotherhood of the Fire Fist - Cardinal,1800.0,4.0,0,21.0
Brotherhood of the Fire Fist - Caribou,1100.0,4.0,50,64.0
Brotherhood of the Fire Fist - Coyote,2000.0,5.0,20,42.4
Brotherhood of the Fire Fist - Dragon,1800.0,4.0,40,61.0
Brotherhood of the Fire Fist - Eagle,1700.0,1.0,40,69.0
Brotherhood of the Fire Fist - Eland,2400.0,6.0,30,56.0
Brotherhood of the Fire Fist - Elephant,1000.0,4.0,40,53.0
Brotherhood of the Fire Fist - Gorilla,1600.0,4.0,30,49.0
Brotherhood of the Fire Fist - Hawk,200.0,3.0,50,56.0
Brotherhood of the Fire Fist - Horse Prince,2200.0,6.0,40,64.0
Brotherhood of the Fire Fist - Kirin,2000.0,8.0,30,51.5
Brotherhood of the Fire Fist - Leopard,0.0,3.0,40,44.0
Brotherhood of the Fire Fist - Lion Emperor,2200.0,3.0,20,46.0
Brotherhood of the Fire Fist - Panda,2100.0,5.0,30,53.4
Brotherhood of the Fire Fist - Peacock,1000.0,1.0,0,22.0
Brotherhood of the Fire Fist - Ram,800.0,3.0,30,42.0
Brotherhood of the Fire Fist - Raven,200.0,3.0,30,36.0
Brotherhood of the Fire Fist - Rhino,1700.0,4.0,20,40.0
Brotherhood of the Fire Fist - Rooster,1500.0,3.0,40,59.0
Brotherhood of the Fire Fist - Snake,1800.0,4.0,40,61.0
Brotherhood of the Fire Fist - Spirit,500.0,3.0,20,29.0
Brotherhood of the Fire Fist - Swallow,2000.0,5.0,40,62.4
Brotherhood of the Fire Fist - Swan,2600.0,8.0,50,77.5
Brotherhood of the Fire Fist - Tiger King,2200.0,4.0,40,65.0
Brotherhood of the Fire Fist - Wolf,0.0,3.0,40,44.0
"Broww, Huntsman of Dark World",1400.0,3.0,10,28.0
"Brron, Mad King of Dark World",1800.0,4.0,10,31.0
Brushfire Knight,1400.0,4.0,30,47.0
Brutal Beast Battle,0.0,1.0,20,32.0
Brutal Potion,0.0,1.0,40,52.0
Brute Enforcer,1600.0,1.0,0,28.0
Bubble Barrier,0.0,1.0,10,22.0
Bubble Blaster,0.0,1.0,10,22.0
Bubble Bringer,0.0,1.0,20,32.0
Bubble Crash,0.0,1.0,0,12.0
Bubble Illusion,0.0,1.0,0,12.0
Bubble Shuffle,0.0,1.0,20,32.0
Bubonic Vermin,900.0,3.0,40,53.0
Buerillabaisse de Nouvelles,400.0,1.0,20,36.0
Bug Emergency,0.0,1.0,30,42.0
Bug Matrix,0.0,1.0,20,32.0
Bug Signal,0.0,1.0,20,32.0
Bujin Arasuda,1600.0,4.0,60,79.0
Bujin Hiruko,1000.0,4.0,30,43.0
Bujin Hirume,2000.0,4.0,30,53.0
Bujin Mahitotsu,0.0,4.0,50,53.0
Bujin Mikazuchi,1900.0,4.0,50,72.0
Bujin Regalia - The Jewel,0.0,1.0,20,32.0
Bujin Regalia - The Mirror,0.0,1.0,0,12.0
Bujin Regalia - The Sword,0.0,1.0,10,22.0
Bujin Torifune,1500.0,4.0,40,58.0
Bujin Yamato,1800.0,4.0,20,41.0
Bujincandescence,0.0,1.0,30,42.0
Bujincarnation,0.0,1.0,30,42.0
Bujincident,0.0,1.0,30,42.0
Bujinfidel,0.0,1.0,20,32.0
Bujingi Boar,1100.0,4.0,10,24.0
Bujingi Centipede,1700.0,4.0,20,40.0
Bujingi Crane,1600.0,4.0,0,19.0
Bujingi Crow,1700.0,4.0,20,40.0
Bujingi Fox,200.0,4.0,10,15.0
Bujingi Hare,1700.0,4.0,20,40.0
Bujingi Ibis,1600.0,4.0,20,39.0
Bujingi Ophidian,1700.0,4.0,0,20.0
Bujingi Pavo,1700.0,4.0,50,70.0
Bujingi Peacock,1800.0,4.0,20,41.0
Bujingi Quilin,1600.0,4.0,20,39.0
Bujingi Raven,1600.0,4.0,10,29.0
Bujingi Sinyou,1500.0,4.0,30,48.0
Bujingi Swallow,1700.0,4.0,0,20.0
Bujingi Turtle,1700.0,4.0,10,30.0
Bujingi Warg,1200.0,4.0,10,25.0
Bujingi Wolf,1100.0,4.0,10,24.0
Bujinki Ahashima,1500.0,1.0,30,57.0
Bujinki Amaterasu,2600.0,4.0,30,59.0
Bujintei Kagutsuchi,2500.0,4.0,50,78.0
Bujintei Susanowo,2400.0,4.0,20,47.0
Bujintei Tsukuyomi,1800.0,4.0,40,61.0
Bujintervention,0.0,1.0,20,32.0
Bujinunity,0.0,1.0,20,32.0
Bull Blader,1600.0,4.0,10,29.0
Bunilla,150.0,1.0,0,13.5
Bunny Ear Enthusiast,200.0,1.0,20,34.0
Burden of the Mighty,0.0,1.0,-10,2.0
Burgeoning Whirlflame,0.0,1.0,20,32.0
Burglar,850.0,3.0,0,12.5
Burgundy the Magic Elf,1600.0,4.0,20,39.0
Burial from a Different Dimension,0.0,1.0,10,22.0
"Burner, Dragon Ruler of Sparks",1000.0,3.0,30,44.0
Burning Algae,500.0,3.0,0,9.0
Burning Bamboo Sword,0.0,1.0,0,12.0
Burning Beast,1500.0,4.0,50,68.0
Burning Dragon,2500.0,8.0,20,46.5
Burning Draw,0.0,1.0,40,52.0
Burning Land,0.0,1.0,10,22.0
Burning Skull Head,1000.0,3.0,40,54.0
Burning Soul,0.0,1.0,20,32.0
Burning Spear,0.0,1.0,0,12.0
Burnout,0.0,1.0,70,82.0
Burst Breath,0.0,1.0,10,22.0
Burst Rebirth,0.0,1.0,20,32.0
Burst Return,0.0,1.0,0,12.0
Burst Stream of Destruction,0.0,1.0,10,22.0
Bururu @Ignister,600.0,3.0,40,50.0
Buster Blader,2600.0,7.0,20,47.714285714285715
"Buster Blader, the Destruction Swordmaster",2600.0,7.0,10,37.714285714285715
"Buster Blader, the Dragon Destroyer Swordsman",2800.0,8.0,60,89.5
Buster Blaster,0.0,1.0,20,32.0
Buster Dragon,1200.0,8.0,20,33.5
Buster Gundil the Cubic Behemoth,0.0,4.0,60,63.0
Buster Rancher,0.0,1.0,0,12.0
Buster Whelp of the Destruction Swordsman,400.0,1.0,30,46.0
Buten,200.0,1.0,10,24.0
Butterfly Dagger - Elma,0.0,1.0,30,42.0
Butterflyoke,0.0,1.0,0,12.0
Butterspy Protection,0.0,1.0,0,12.0
Buzzsaw Shark,1600.0,4.0,40,59.0
By Order of the Emperor,0.0,1.0,40,52.0
Bye Bye Damage,0.0,1.0,10,22.0
Byroad Sacrifice,0.0,1.0,30,42.0
Byser Shock,800.0,5.0,20,30.4
Bystial Baldrake,2500.0,6.0,30,57.0
Bystial Dis Pater,3500.0,10.0,40,76.2
Bystial Druiswurm,2500.0,6.0,30,57.0
Bystial Magnamhut,2500.0,6.0,50,77.0
Bystial Saronir,2500.0,6.0,50,77.0
C-Crush Wyvern,1200.0,4.0,30,45.0
"Caam, Serenity of Gusto",1700.0,4.0,20,40.0
Cabrera Stone,0.0,1.0,50,62.0
Cactus Bouncer,1800.0,4.0,20,41.0
Cactus Fighter,1900.0,4.0,30,52.0
"Cagna, Malebranche of the Burning Abyss",1500.0,3.0,50,69.0
"Cairngorgon, Antiluminescent Knight",2450.0,4.0,0,27.5
Caius the Mega Monarch,2800.0,8.0,50,79.5
Caius the Shadow Monarch,2400.0,6.0,50,76.0
"Calcab, Malebranche of the Burning Abyss",1400.0,3.0,30,48.0
Caligo Claw Crow,900.0,2.0,20,35.0
Call of Darkness,0.0,1.0,0,12.0
Call of the Archfiend,0.0,1.0,10,22.0
Call of the Atlanteans,0.0,1.0,20,32.0
Call of the Earthbound,0.0,1.0,0,12.0
Call of the Grave,0.0,1.0,0,12.0
Call of the Haunted,0.0,1.0,30,42.0
Call of the Haunted (Skill Card),0.0,1.0,50,62.0
Call of the Mummy,0.0,1.0,20,32.0
Call of the Reaper,0.0,1.0,20,32.0
Called by the Grave,0.0,1.0,10,22.0
Calming Magic,0.0,1.0,20,32.0
"Camelot, Realm of Noble Knights and Noble Arms",0.0,1.0,60,72.0
Cameraclops,1400.0,4.0,10,27.0
Candle of Fate,600.0,2.0,0,12.0
Caninetaur,1500.0,3.0,20,39.0
Cannon Soldier,1400.0,4.0,20,37.0
Cannon Soldier MK-2,1900.0,5.0,20,41.4
Cannonball Spear Shellfish,1000.0,2.0,0,16.0
Canon the Melodious Diva,1400.0,4.0,20,37.0
Canopic Protector,0.0,1.0,30,42.0
Canyon,0.0,1.0,0,12.0
Capacitor Stalker,2000.0,5.0,50,72.4
Capricious Darklord,0.0,4.0,10,13.0
Capshell,0.0,2.0,40,46.0
Caravan of the Ice Barrier,500.0,1.0,20,37.0
Carboneddon,800.0,3.0,50,62.0
Card Advance,0.0,1.0,40,52.0
Card Blocker,400.0,3.0,40,48.0
Card Breaker,100.0,2.0,20,27.0
Card Destruction,0.0,1.0,10,22.0
Card Ejector,400.0,3.0,10,18.0
Card Guard,1600.0,4.0,50,69.0
Card of Demise,0.0,1.0,40,52.0
Card of Fate,0.0,1.0,0,12.0
Card of Sacrifice,0.0,1.0,40,52.0
Card of Safe Return,0.0,1.0,40,52.0
Card of Sanctity,0.0,1.0,30,42.0
Card of the Soul,0.0,1.0,20,32.0
Card Rotator,0.0,1.0,0,12.0
Card Scanner,0.0,1.0,10,22.0
Card Shuffle,0.0,1.0,0,12.0
Card Trader,0.0,1.0,20,32.0
Card Trooper,400.0,3.0,50,58.0
Cardcar D,800.0,2.0,40,54.0
Cards for Black Feathers,0.0,1.0,50,62.0
Cards from the Sky,0.0,1.0,50,62.0
Cards of Consonance,0.0,1.0,10,22.0
Cards of the Red Stone,0.0,1.0,40,52.0
"Carpiponica, Mystical Beast of the Forest",1000.0,7.0,40,51.714285714285715
Carrierroid,1000.0,4.0,0,13.0
Cartorhyn the Hidden Gem of the Seafront,500.0,2.0,40,51.0
Cash Back,0.0,1.0,0,12.0
Cassimolar,1000.0,3.0,50,64.0
"Castel, the Skyblaster Musketeer",2000.0,4.0,0,23.0
Castle Gate,0.0,6.0,30,32.0
Castle Link,0.0,1.0,0,12.0
Castle of Dark Illusions,920.0,4.0,20,32.2
Castle of Dragon Souls,0.0,1.0,50,62.0
Castle Walls,0.0,1.0,0,12.0
Cat Shark,500.0,2.0,10,21.0
Cat's Ear Tribe,200.0,1.0,0,14.0
Cataclysmic Circumpolar Chilblainia,2600.0,8.0,30,57.5
Cataclysmic Crusted Calcifida,2600.0,8.0,50,77.5
Cataclysmic Cryonic Coldo,2600.0,8.0,30,57.5
Cataclysmic Scorching Sunburner,2600.0,8.0,50,77.5
Catalyst Field,0.0,1.0,60,72.0
Catapult Turtle,1000.0,5.0,20,32.4
Catapult Warrior,1000.0,5.0,20,32.4
Catapult Zone,0.0,1.0,30,42.0
Catch of the Day,0.0,1.0,70,82.0
Catche Eve L2,800.0,2.0,20,34.0
Catnipped Kitty,0.0,2.0,0,6.0
Catoblepas and the Witch of Fate,1800.0,4.0,30,51.0
"Catoblepas, Familiar of the Evil Eye",600.0,3.0,40,50.0
Cattle Call,0.0,1.0,30,42.0
Cattycorn,1500.0,4.0,50,68.0
Cauldron of the Old Man,0.0,1.0,40,52.0
Cave Dragon,2000.0,4.0,20,43.0
Ceasefire,0.0,1.0,20,32.0
Celestia,0.0,1.0,40,52.0
"Celestia, Lightsworn Angel",2300.0,5.0,30,55.4
Celestial Apparatus Tesea,1000.0,4.0,40,53.0
Celestial Double Star Shaman,100.0,2.0,20,27.0
Celestial Knightlord Parshath,2400.0,1.0,40,76.0
Celestial Observatory,0.0,1.0,20,32.0
Celestial Sword - Eatos,0.0,1.0,30,42.0
Celestial Transformation,0.0,1.0,30,42.0
"Celestial Wolf Lord, Blue Sirius",2400.0,6.0,0,26.0
Cell Explosion Virus,0.0,1.0,10,22.0
Celtic Guard of Noble Arms,2100.0,4.0,60,84.0
Celtic Guardian,1400.0,4.0,0,17.0
Cemetary Bomb,0.0,1.0,20,32.0
Centaur Mina,2200.0,6.0,30,54.0
Centerfrog,100.0,2.0,40,47.0
Centrifugal Field,0.0,1.0,30,42.0
Centurion Emet VI,2000.0,8.0,20,41.5
Centurion Legatia,3500.0,12.0,50,86.0
Centurion Phalanx,0.0,1.0,20,32.0
Centurion Primera,1600.0,4.0,50,69.0
Centurion Trudea,1000.0,4.0,20,33.0
Ceremonial Bell,0.0,3.0,0,4.0
Ceremonial Token,0.0,1.0,20,32.0
Cerulean Sacred Phoenix of Nephthys,3000.0,8.0,30,61.5
Cerulean Skyfire,0.0,1.0,20,32.0
"Ceruli, Guru of Dark World",100.0,1.0,10,23.0
Cestus of Dagla,0.0,1.0,40,52.0
Chachaka Archer,1200.0,6.0,10,24.0
Chain Burst,0.0,1.0,0,12.0
Chain Destruction,0.0,1.0,30,42.0
Chain Detonation,0.0,1.0,20,32.0
Chain Disappearance,0.0,1.0,30,42.0
Chain Dispel,0.0,1.0,10,22.0
Chain Dog,1600.0,4.0,30,49.0
Chain Energy,0.0,1.0,20,32.0
Chain Healing,0.0,1.0,20,32.0
Chain Hole,0.0,1.0,10,22.0
Chain Ignition,0.0,1.0,10,22.0
Chain Material,0.0,1.0,30,42.0
Chain Resonator,100.0,1.0,40,53.0
Chain Strike,0.0,1.0,20,32.0
Chain Summon,0.0,1.0,20,32.0
Chain Summoning,0.0,1.0,20,32.0
Chain Thrasher,1000.0,4.0,0,13.0
Chain Whirlwind,0.0,1.0,10,22.0
Chainsaw Insect,2400.0,4.0,20,47.0
Chakra,2450.0,7.0,20,46.214285714285715
Chamber Dragonmaid,500.0,4.0,40,48.0
Chamberlain of the Six Samurai,200.0,3.0,0,6.0
Champion's Vigilance,0.0,1.0,30,42.0
Change of Heart,0.0,1.0,0,12.0
Change of Hero - Reflector Ray,0.0,1.0,30,42.0
Change Slime,400.0,1.0,0,16.0
Changer Synchron,0.0,1.0,20,32.0
Changing Destiny,0.0,1.0,20,32.0
Changshi the Spiridao,2000.0,6.0,30,52.0
"Chaofeng, Phantom of the Yang Zing",2800.0,9.0,50,79.33333333333333
Chaos Ancient Gear Giant,4500.0,10.0,40,86.2
Chaos Angel,3500.0,10.0,60,96.2
Chaos Archfiend,2500.0,8.0,60,86.5
Chaos Beast,2000.0,6.0,50,72.0
Chaos Betrayer,2000.0,6.0,30,52.0
Chaos Burst,0.0,1.0,30,42.0
Chaos Command Magician,2400.0,6.0,0,26.0
Chaos Core,0.0,3.0,10,14.0
Chaos Daedalus,2600.0,7.0,30,57.714285714285715
Chaos Dragon Levianeer,3000.0,8.0,40,71.5
Chaos Emperor Dragon - Envoy of the End,3000.0,8.0,50,81.5
"Chaos Emperor, the Dragon of Armageddon",3000.0,8.0,60,91.5
Chaos End,0.0,1.0,10,22.0
Chaos Form,0.0,1.0,30,42.0
Chaos Goddess,2500.0,8.0,20,46.5
Chaos Greed,0.0,1.0,40,52.0
Chaos Grepher,1700.0,4.0,30,50.0
Chaos Hunter,2500.0,7.0,20,46.714285714285715
Chaos Infinity,0.0,1.0,50,62.0
Chaos King Archfiend,2600.0,7.0,0,27.714285714285715
Chaos Mirage Dragon,1600.0,4.0,30,49.0
Chaos Necromancer,0.0,1.0,0,12.0
Chaos Nephthys,2400.0,8.0,40,65.5
Chaos Phantasm,0.0,1.0,30,42.0
